video,dataset,prompt,release_date,split
16pk_A_R1.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1998-11-25,train
16pk_A_R2.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1998-11-25,train
16pk_A_R3.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1998-11-25,train
1a62_A_R1.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1998-06-17,train
1a62_A_R2.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1998-06-17,train
1a62_A_R3.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1998-06-17,train
1ab1_A_R1.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1997-08-12,train
1ab1_A_R2.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1997-08-12,train
1ab1_A_R3.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1997-08-12,train
1ah7_A_R1.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1997-12-10,train
1ah7_A_R2.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1997-12-10,train
1ah7_A_R3.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1997-12-10,train
1ail_A_R1.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1997-10-22,train
1ail_A_R2.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1997-10-22,train
1ail_A_R3.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1997-10-22,train
1aol_A_R1.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1997-10-15,train
1aol_A_R2.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1997-10-15,train
1aol_A_R3.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1997-10-15,train
1b25_D_R1.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1999-03-24,train
1b25_D_R2.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1999-03-24,train
1b25_D_R3.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1999-03-24,train
1b2s_E_R1.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1998-12-08,train
1b2s_E_R2.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1998-12-08,train
